url	company	role	tier	reason
https://www.indeed.com/viewjob?jk=302b0226cf301ff5	Fuze Health	Senior Technical Program Manager - FuzeRx | TX, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=7dd9d64b4ea5c51e	Liberty Mutual Insurance	Manager, Engineering | Indianapolis, IN, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=486a73406c444624	Liberty Mutual Insurance	Manager, Engineering | Boston, MA, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=d4c9e34e3524243f	Liberty Mutual Insurance	Manager, Engineering | Columbus, OH, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=e121b3be82cf03d8	Liberty Mutual Insurance	Manager, Engineering | Plano, TX, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=08a9fea9179da71c	Liberty Mutual Insurance	Manager, Engineering | Portsmouth, NH, US	archetype	archetype mismatch: management role
https://www.linkedin.com/jobs/view/4403504804	Labcorp	Senior Software Engineer, Clinical CMS | North Carolina, United States	HARD STOP	HARD STOP: healthcare/clinical (PHI exposure)
https://www.linkedin.com/jobs/view/4412413418	Owner.com	Senior Software Engineer, Mobile Platform - POS (Remote, United States) |	hard_no	hard_no: native mobile (iOS/Android)
https://www.indeed.com/viewjob?jk=d40333fe6a0ebeb0	Otairo.ai	Senior AI Solution Engineer | Remote, US	archetype	archetype mismatch: solutions engineer (sales-adjacent)
https://www.indeed.com/viewjob?jk=355f8fef9b283d5a	BNY	Vice President, Full-Stack Engineer II | Jersey City, NJ, US	archetype	archetype mismatch: leadership role
https://www.linkedin.com/jobs/view/4337648389	DataAnnotation	Web Developer/Designer | Tennessee, United States	archetype	archetype mismatch: design role
https://www.linkedin.com/jobs/view/4362277916	OpenAI	Full-Stack Engineer, ChatGPT Education  & Learning | San Francisco, CA	HIGH BG	HIGH BG risk: OpenAI (AI lab / fintech / large public US tech per BG policy)
https://www.linkedin.com/jobs/view/4379959781	Bubble	Staff Full Stack Engineer, Mobile Platform |	hard_no	hard_no: native mobile (iOS/Android)
https://www.linkedin.com/jobs/view/4338367607	DataAnnotation	Web Developer/Designer | Kansas, United States	archetype	archetype mismatch: design role
https://www.indeed.com/viewjob?jk=2bf7e0b35f8ea7b1	C-4 Analytics	Senior Data Engineer (HYBRID) | Wakefield, MA, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=4f1d887d28de9ce1	HubSpot	Senior AI Engineer (AIMS Martek) | New York, NY, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=7ef3dd717fe3b47a	HubSpot	Senior AI Engineer (AIMS Martek) | Austin, TX, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=21daf22bbd2e931c	HubSpot	AI Engineer (AIMS Martek) | Los Angeles, CA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=8e76d75d932909a0	HubSpot	Senior AI Engineer (AIMS Martek) | Seattle, WA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=f913892d63499061	HubSpot	Senior AI Engineer (AIMS Martek) | Boston, MA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=fe2c7c68d61e5bd7	HubSpot	AI Engineer (AIMS Martek) | Seattle, WA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=01ed7d5a25eb1cc5	HubSpot	Senior AI Engineer (AIMS Martek) | San Francisco, CA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=6a1c0bdeee2ee1ec	HubSpot	AI Engineer (AIMS Martek) | Austin, TX, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=d2386cee1a9ea922	HubSpot	AI Engineer (AIMS Martek) | New York, NY, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=06e9685308e22788	HubSpot	AI Engineer (AIMS Martek) | Boston, MA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=d7b52c488dc9036a	HubSpot	AI Engineer (AIMS Martek) | San Francisco, CA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=3a11d937ef0c562e	HubSpot	Senior AI Engineer (AIMS Martek) | Los Angeles, CA, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=909cc1e632a4146a	HubSpot	AI Engineer (AIMS Martek) | Dallas, TX, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=ed87bf68d6a5980f	HubSpot	Senior AI Engineer (AIMS Martek) | Dallas, TX, US	HIGH BG	HIGH BG risk: HubSpot (AI lab / fintech / large public US tech per BG policy)
https://www.indeed.com/viewjob?jk=2bec7882b34f08c9	Velvetech	Senior AI Data Engineer | Remote, US	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4398854623	OP	Sr. Front End Web/Mobile Web Engineer |	hard_no	hard_no: native mobile (iOS/Android)
https://www.indeed.com/viewjob?jk=9de791fab3df1ed3	The Hearst Corporation	Technical Product Manager | Carmel, IN, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=a5214d4aec20d122	PlayStation	Senior Software Engineer (Android) | San Mateo, CA, US	hard_no	hard_no: native mobile (iOS/Android)
https://www.indeed.com/viewjob?jk=beca0249d1f50981	PlayStation	Senior Software Engineer (Android) | San Diego, CA, US	hard_no	hard_no: native mobile (iOS/Android)
https://www.indeed.com/viewjob?jk=6afb8f6e240ceda2	Optum	Senior Technical Product Manager | Eden Prairie, MN, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=a7f7a66c39be65ee	Information Technology Senior Management Forum	Senior Data Engineer Lead - Senior Vice President | Jersey City, NJ, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=386f429f1bb606eb	Information Technology Senior Management Forum	Data Architecture Group Manager, Senior Vice President | Irving, TX, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=5f1b5a2a17abd212	Information Technology Senior Management Forum	Senior Manager, Product Management, DPI | McLean, VA, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=71d9cec4a7ad6b3f	Focus on the Family	Project Manager II | Colorado Springs, CO, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=b2c00fed7956addd	Mercury Insurance Company	Lead Technical Product Manager | Remote, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=66e3d5fb36f4d489	Gallup	Senior Data Engineer | San Francisco, CA, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=393ef9108f3ebaa8	Anduril	Senior Manager, Software Engineering | Costa Mesa, CA, US	HARD STOP	HARD STOP: Anduril is defense/intel — clearance-required
https://www.indeed.com/viewjob?jk=5c6cd36733a502e6	Lemartec	Senior Project Manager | Lubbock, TX, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=f70b70ab2e2d8714	MasTec Inc	Senior Project Manager | Lubbock, TX, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=3fb2c0deb86004e8	Storable	Data Engineer II | Austin, TX, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=77877fb281fef6bd	CRUSOE	Director of Environmental, Health, and Safety (EHS) Programs and Systems | Denver, CO, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=f1084d2f4f7254d8	Lucent Health Solutions	Data Engineer- Hybrid- Nashville TN | Nashville, TN, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=f32c0f0a439ee9f4	Adobe	Sr Product Designer, Lightroom Mobile Growth | CA, US	hard_no	hard_no: native mobile (iOS/Android)
https://www.indeed.com/viewjob?jk=f313083f736e77f4	Everforth ECS	Senior Data Engineer | Remote, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=fad121e0657e349a	Intel Corporation	General Manager, Intel Wireless Solutions | Hillsboro, OR, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=cad423c7df369656	Eaton	Chief Engineer | Golden, CO, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=6cf497703b65cb21	Eaton	Chief Engineer | Menomonee Falls, WI, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=11903a2b1ae8fc08	Eaton	Chief Engineer | Raleigh, NC, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=5fcbcde6c667bee0	EverFi	Senior Data Product Manager | Remote, US	archetype	archetype mismatch: PM role
https://www.indeed.com/viewjob?jk=6aa881a961deead9	U.S. Bank	Senior Business Solution Architect | Tempe, AZ, US	archetype	archetype mismatch: solutions architect (sales-adjacent)
https://www.indeed.com/viewjob?jk=bd18204acb3e53ee	nan	VP, Fundamentals & Analytics | Houston, TX, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=d2f5364cac7bcfd0	nan	Manager, Construction | Houston, TX, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=a9be451d3d6f97a7	nan	Manager, Operations | Houston, TX, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=ef369b9d4f03cbec	nan	Vice President Supply Chain | Houston, TX, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=239c04e9faa8b29e	nan	VP, Project Services | Houston, TX, US	archetype	archetype mismatch: leadership role
https://www.indeed.com/viewjob?jk=f8df4e8d30058461	Oracle	Senior Manager, Reliability Engineering | TX, US	archetype	archetype mismatch: management role
https://www.linkedin.com/jobs/view/4381686242	Cedar	Sr. Data Engineer (Data Platforms) |	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4411750559	Intellibus	Senior Data Engineer – AWS & Kafka | Herndon, VA	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4253565957	Yahoo	Sr. Backend Data Engineer - Streaming Data Platform, Yahoo! Mail |	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4364995259	Blue River Technology	Principal Software Engineer, ML & Robotics Platform |	hard_no	hard_no: hardware/embedded
https://www.linkedin.com/jobs/view/4410834088	Lorven Technologies Inc.	AWS Data Engineer |	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4410946023	Paramount	Senior Lead Data Engineer, Content Engineering | New York, NY	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4410971454	Accylerate	Senior Data Engineer (AWS Data Platform) |	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4361816158	Prestige Staffing	Senior Security Analyst | Durham, NC	archetype	archetype mismatch: security research
https://www.linkedin.com/jobs/view/4409712109	Acunor	AWS Data Engineer |	archetype	archetype mismatch: data engineering
https://www.linkedin.com/jobs/view/4410789907	Navigating Care	Sr. QA Engineer (DevOps) |	archetype	archetype mismatch: QA
https://www.linkedin.com/jobs/view/4321342136	Healthmap Solutions	Senior Data Engineer |	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=f5ba591df219c710	Fingerprint	Manager of Cloud Platform Engineering | Remote, US	archetype	archetype mismatch: management role
https://www.indeed.com/viewjob?jk=e9b31cc1edc6286e	Further	Solution Architect | Dallas, TX, US	archetype	archetype mismatch: solutions architect (sales-adjacent)
https://www.indeed.com/viewjob?jk=970ab5a363158d63	Openkyber	ML Infrastructure Architect | AK, US	archetype	archetype mismatch: ML infra/platform (not Cole TS profile)
https://www.linkedin.com/jobs/view/4412604176	American Express	Director - AI Engineering - Agentic AI | New York, NY	archetype	archetype mismatch: leadership role
https://www.linkedin.com/jobs/view/4412390557	American Express	Director - AI Engineering - Agentic AI | Palo Alto, CA	archetype	archetype mismatch: leadership role
https://www.linkedin.com/jobs/view/4412603165	American Express	Director - AI Engineering - Agentic AI | Sunrise, FL	archetype	archetype mismatch: leadership role
https://www.linkedin.com/jobs/view/4412310829	ChatGPT Jobs	Developer Relations Engineer - San Francisco | San Francisco, CA	archetype	archetype mismatch: DevRel/advocacy
https://remoteOK.com/remote-jobs/remote-senior-manager-government-industry-affairs-operations-vgw-1131518	VGW	Senior Manager Government & Industry Affairs Operations | Maryland	HARD STOP	HARD STOP: clearance-bound role per BG policy
https://remoteOK.com/remote-jobs/remote-analytics-engineer-civitech-1131512	Civitech	Analytics Engineer | Austin, TX or Remote	archetype	archetype mismatch: data engineering
https://remoteOK.com/remote-jobs/remote-senior-data-engineer-valon-mortgage-1131504	Valon Mortgage	Senior Data Engineer | Remote	archetype	archetype mismatch: data engineering
https://remoteOK.com/remote-jobs/remote-principal-data-engineer-extend-1131491	Extend	Principal Data Engineer | Remote	archetype	archetype mismatch: data engineering
https://remoteOK.com/remote-jobs/remote-technical-writer-product-engineer-thermal-works-1131481	Thermal Works	Technical Writer & Product Engineer | United States	archetype	archetype mismatch: technical writer
https://weworkremotely.com/remote-jobs/stripe-senior-backend-engineer	Stripe	Senior Backend Engineer | Remote	HIGH BG	HIGH BG risk: Stripe (AI lab / fintech / large public US tech per BG policy)
